idx,image_id,prediction,gold,EM,F1,BLEU4,ROUGE_L_F1
20,,"< c2,CAM_FRON","< c2,CAM_FRONT_RIGHT,136.7,575.8> is in front of < c1,CAM_FRONT_RIGHT,685.0,583.3>, < c3,CAM_BACK,1126.3,639.1> is to the back left of < c1,CAM_FRONT_RIGHT,685.0,583.3>, and < c3,CAM_BACK,1126.3,639.1> is behind < c2,CAM_FRONT_RIGHT,136.7,575.8>.",0,0.0,0.0,0.0
21,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
22,,Many pedestrians are moving.,Many pedestrians are moving.,1,1.0,1.0,1.0
23,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
24,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
25,,No.,No.,1,1.0,0.0,1.0
26,,No.,No.,1,1.0,0.0,1.0
27,,"< c2,CAM_FRON","< c2,CAM_BACK,547.5,511.7> is at the back of < c1,CAM_FRONT,883.3,472.5>, < c3,CAM_FRONT_RIGHT,291.7,517.5> is at the back of < c1,CAM_FRONT,883.3,472.5>, < c4,CAM_BACK_RIGHT,107.5,536.7> is at the back of < c1,CAM_FRONT,883.3,472.5>, < c5,CAM_BACK_RIGHT,",0,0.0,0.0,0.0
28,,"< c1,CAM_FRON","< c1,CAM_FRONT,39.2,440.0>, < c3,CAM_FRONT,250.8,418.3>, < c2,CAM_BACK,1009.2,655.0>.",0,0.0,0.0,0.0
29,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
30,,No.,No.,1,1.0,0.0,1.0
31,,Brake suddenly.,Back up.,0,0.0,0.0,0.0
32,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
33,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
34,,No.,Yes.,0,0.0,0.0,0.0
35,,There are many cars and one truck behind,"There are many traffic cones, one pedestrian, many cars, and one barrier at the back of the ego car.",0,0.48,0.15619,0.48
36,,The ego vehicle is going straight.,The ego vehicle is slightly steering to the right. The ego vehicle is driving fast.,0,0.352941,0.0,0.352941
37,,Many pedestrians are moving.,Many pedestrians are moving.,1,1.0,1.0,1.0
38,,No.,No.,1,1.0,0.0,1.0
39,,No.,No.,1,1.0,0.0,1.0
40,,Yes.,Yes.,1,1.0,0.0,1.0
41,,Yes.,Yes.,1,1.0,0.0,1.0
42,,Yes.,Yes.,1,1.0,0.0,1.0
43,,Water droplets on the glass affect the,There is nothing in particular to pay attention to in this scene; the road is quite empty.,0,0.0,0.0,0.0
44,,Stationary.,Moving.,0,0.0,0.0,0.0
45,,"Many cars are parked, and one",Two cars are moving.,0,0.4,0.0,0.4
46,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
47,,No.,No.,1,1.0,0.0,1.0
48,,Sharp right turn.,"Driving towards the front right can lead to a collision with < c2,CAM_FRONT_RIGHT,315.0,551.7>.",0,0.153846,0.0,0.153846
49,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
50,,"Keep going at the same speed, accelerate",Keep going at the same speed.,0,0.909091,0.759836,0.909091
51,,Yes.,Yes.,1,1.0,0.0,1.0
52,,The action is to keep going at the,The action is to brake gently to a stop. The reason for taking this action is to follow the traffic rules. The probability of taking this action is high.,0,0.2,0.0,0.2
53,,No.,Yes.,0,0.0,0.0,0.0
54,,No.,No.,1,1.0,0.0,1.0
55,,There are many cars and one truck behind,There are many pedestrians and one car behind the ego car.,0,0.666667,0.0,0.666667
56,,No.,No.,1,1.0,0.0,1.0
57,,The ego vehicle is going straight.,The ego vehicle is slightly steering to the left. The ego vehicle is driving fast.,0,0.352941,0.0,0.352941
58,,"Many cars are parked, and one","Many cars are moving, and one is parked.",0,0.857143,0.0,0.714286
59,,White truck.,Blue truck.,0,0.5,0.0,0.5
60,,No.,No.,1,1.0,0.0,1.0
61,,Low.,Low.,1,1.0,0.0,1.0
62,,Going ahead.,Turn right.,0,0.0,0.0,0.0
63,,There are many cars and one truck to,"There are many barriers, one pedestrian, and one construction vehicle to the front left of the ego car.",0,0.5,0.0,0.5
64,,One truck is parked.,One truck is parked.,1,1.0,1.0,1.0
65,,Traffic sign.,Traffic sign.,1,1.0,0.0,1.0
66,,No.,No.,1,1.0,0.0,1.0
67,,No.,No.,1,1.0,0.0,1.0
68,,Reversing to the right rear.,No such action will lead to a collision.,0,0.181818,0.0,0.181818
69,,Yes.,Yes.,1,1.0,0.0,1.0
70,,No.,Yes.,0,0.0,0.0,0.0
71,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
72,,There is a white truck to the,"There is a white SUV to the back right of the ego vehicle, a black sedan to the back of the ego vehicle, a white sedan to the back right of the ego vehicle, a white bus to the front of the ego vehicle, and a black commercial vehicle to the back of the ego vehicle. The IDs of these objects are < c1,CAM_BACK_RIGHT,755.0,514.2>, < c2,CAM_BACK,504.2,606.7>, < c3,CAM_BACK_RIGHT,186.7,55",0,0.148148,0.0,0.148148
73,,Low.,Low.,1,1.0,0.0,1.0
74,,Brake suddenly.,Back up.,0,0.0,0.0,0.0
75,,"None, no, none.","None. Yes, it would affect the ego vehicle. Keep going at the same speed.",0,0.133333,0.0,0.133333
76,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
77,,Low.,Low.,1,1.0,0.0,1.0
78,,Many cars are parked.,Many cars are parked.,1,1.0,1.0,1.0
79,,No.,No.,1,1.0,0.0,1.0
80,,No.,No.,1,1.0,0.0,1.0
81,,Yes.,Yes.,1,1.0,0.0,1.0
82,,The action is to keep going at the,"The action is to remain stationary because the object has little reference value for the ego vehicle, with a high probability.",0,0.26087,0.0,0.26087
83,,Yes.,Yes.,1,1.0,0.0,1.0
84,,White truck.,Silver sedan.,0,0.0,0.0,0.0
85,,None.,None.,1,1.0,0.0,1.0
86,,One pedestrian is moving.,One pedestrian is standing.,0,0.75,0.0,0.75
87,,One truck is parked.,One truck is moving.,0,0.75,0.0,0.75
88,,Yes.,Yes.,1,1.0,0.0,1.0
89,,"Many cars are parked, and one","Two of the cars are parked, and one is moving.",0,0.666667,0.460864,0.666667
90,,Black sedan.,Black sedan.,1,1.0,0.0,1.0
91,,Many cars are parked.,"Many cars are moving, and one is parked.",0,0.666667,0.0,0.666667
92,,"The action is none, the reason is","The action is none, the reason is there is no safety issue.",0,0.666667,0.367879,0.666667
93,,Black sedan.,Black SUV.,0,0.5,0.0,0.5
94,,No.,No.,1,1.0,0.0,1.0
95,,Back up.,Reversing to the right rear.,0,0.0,0.0,0.0
96,,Black sedan.,White sedan.,0,0.5,0.0,0.5
97,,Low.,Low.,1,1.0,0.0,1.0
98,,No.,No.,1,1.0,0.0,1.0
99,,Yes.,Yes.,1,1.0,0.0,1.0
100,,Yes.,No.,0,0.0,0.0,0.0
101,,None.,None.,1,1.0,0.0,1.0
102,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
103,,Yes.,Yes.,1,1.0,0.0,1.0
104,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
105,,"The action is none, the reason is",The action is to decelerate and go ahead; the reason is that there is no safety issue.,0,0.4,0.0,0.4
106,,Black sedan.,White SUV.,0,0.0,0.0,0.0
107,,No.,No.,1,1.0,0.0,1.0
108,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
109,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
110,,There are many cars and one truck behind,There are many cars and one truck behind the ego car.,0,0.888889,0.778801,0.888889
111,,Black sedan.,Gray SUV.,0,0.0,0.0,0.0
112,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
113,,None.,The ego vehicle.,0,0.0,0.0,0.0
114,,The action is to keep going at the,"The action is to keep going at the same speed. The reason for taking this action is to avoid a collision, which is highly probable.",0,0.444444,0.082085,0.444444
115,,"< c1,CAM_BACK","< c1,CAM_BACK,745.8,587.5> is on the ego lane, < c2,CAM_FRONT,741.7,586.7> is on the ego lane, < c3,CAM_FRONT_RIGHT,102.8,479.4> is on the right lane, < c4,CAM_FRONT_RIGHT,783.3,597.2> is on the right lane, and < c5,CAM_BACK,246.0,650.8> is on the right lane.",0,0.0,0.0,0.0
116,,Black sedan.,White car.,0,0.0,0.0,0.0
117,,"Many cars are parked, and one","Many cars are moving, and two are parked.",0,0.714286,0.0,0.571429
118,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
119,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
120,,"Back up, brake suddenly.","Back up, accelerate, and go ahead.",0,0.4,0.0,0.4
121,,No.,No.,1,1.0,0.0,1.0
122,,Black sedan.,White van.,0,0.0,0.0,0.0
123,,No.,No.,1,1.0,0.0,1.0
124,,No.,No.,1,1.0,0.0,1.0
125,,Yes.,Yes.,1,1.0,0.0,1.0
126,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
127,,"Keep going at the same speed, accelerate",Keep going at the same speed and turn left.,0,0.714286,0.544446,0.714286
128,,Yes.,No.,0,0.0,0.0,0.0
129,,Yes.,Yes.,1,1.0,0.0,1.0
130,,One truck is parked.,One truck is parked.,1,1.0,1.0,1.0
131,,None.,None.,1,1.0,0.0,1.0
132,,"Yes, there are traffic elements in the","No, there are no traffic elements in the front view.",0,0.666667,0.0,0.666667
133,,Brake suddenly.,Brake suddenly.,1,1.0,0.0,1.0
134,,"Back up, brake suddenly.","Backing up, turning left, continuing at the same speed, accelerating, and moving forward are dangerous actions for the ego vehicle in this scenario.",0,0.08,0.0,0.08
135,,There are many cars and one truck to,There are two cars and one truck to the front left of the ego car.,0,0.666667,0.318268,0.666667
136,,No.,No.,1,1.0,0.0,1.0
137,,Traffic light.,Traffic light.,1,1.0,0.0,1.0
138,,There is one moving car behind the,"There is one moving car in front of the ego car, one parked car in front of the ego car, one parked car to the front left of the ego car, two parked cars to the back left of the ego car, two parked cars behind the ego car, one parked truck in front of the ego car, and one moving pedestrian behind the ego car.",0,0.190476,0.000162,0.190476
139,,One bus is moving.,One bus is stopped.,0,0.75,0.0,0.75
140,,Sharp right turn.,Moderate right turn.,0,0.666667,0.0,0.666667
141,,Yes.,Yes.,1,1.0,0.0,1.0
142,,"< c2,CAM_FRON","< c3,CAM_FRONT,849.2,499.2> is in front of < c1,CAM_FRONT_RIGHT,340.8,611.7>, < c4,CAM_FRONT,387.5,632.9> is on the front left of < c1,CAM_FRONT_RIGHT,340.8,611.7>, < c2,CAM_BACK,855.0,630.0> is behind < c1,CAM_FRONT_RIGHT,340.8,611.7>, < c5,CAM_BACK,28",0,0.0,0.0,0.0
143,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
144,,Go straight.,Stationary.,0,0.0,0.0,0.0
145,,No.,Yes.,0,0.0,0.0,0.0
146,,Moving.,Stationary.,0,0.0,0.0,0.0
147,,Turn left.,Traffic cone.,0,0.0,0.0,0.0
148,,Silver sedan.,Black SUV.,0,0.0,0.0,0.0
149,,Stationary.,Stationary.,1,1.0,0.0,1.0
150,,There is one moving car behind the,There is one moving car behind the ego car.,0,0.857143,0.716531,0.857143
151,,No.,No.,1,1.0,0.0,1.0
152,,No.,No.,1,1.0,0.0,1.0
153,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
154,,Two trailers are parked.,"Two of the trailers are moving, and one is parked.",0,0.615385,0.0,0.615385
155,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
156,,"< c1,CAM_BACK","< c1,CAM_FRONT,1229.6,597.2> is on the ego lane, < c2,CAM_BACK,853.3,644.2> is on the ego lane, < c4,CAM_FRONT,1036.7,671.7> is on the ego lane, and < c5,CAM_BACK,272.5,673.6> is on the right lane.",0,0.0,0.0,0.0
157,,One truck is parked.,One truck is parked.,1,1.0,1.0,1.0
158,,No.,No.,1,1.0,0.0,1.0
159,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
160,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
161,,There are many cars and one truck behind,"There are many cars, many pedestrians, one construction vehicle, and one trailer behind the ego car.",0,0.608696,0.17812,0.608696
162,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
163,,"The action is none, the reason is","The action is none, the reason is there is no safety issue.",0,0.666667,0.367879,0.666667
164,,Yes.,Yes.,1,1.0,0.0,1.0
165,,Yes.,Yes.,1,1.0,0.0,1.0
166,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
167,,"None, no, none.","Keep stationary, others.",0,0.0,0.0,0.0
168,,"Yes, there are traffic elements in the","Yes, there are traffic elements in the front view.",0,0.857143,0.716531,0.857143
169,,Black sedan.,Blue sedan.,0,0.5,0.0,0.5
170,,"< c2,CAM_FRON","< c3,CAM_FRONT,353.3,518.3> is on the front left of < c1,CAM_BACK_RIGHT,495.0,518.3>, < c2,CAM_FRONT_RIGHT,1435.8,450.8> is on the front right of < c1,CAM_BACK_RIGHT,495.0,518.3>, and < c3,CAM_FRONT,353.3,518.3> is on the front left of < c2,CAM_FRONT_RIGHT,14",0,0.0,0.0,0.0
171,,Many pedestrians are moving.,Two pedestrians are moving.,0,0.75,0.0,0.75
172,,No.,No.,1,1.0,0.0,1.0
173,,No.,No.,1,1.0,0.0,1.0
174,,Black sedan.,White sedan.,0,0.5,0.0,0.5
175,,"Many cars are parked, and one","Many cars are parked, and one is moving.",0,0.857143,0.716531,0.857143
176,,No.,No.,1,1.0,0.0,1.0
177,,"No, you cannot.","No, you cannot.",1,1.0,0.0,1.0
178,,Yes.,No.,0,0.0,0.0,0.0
179,,"< c1,CAM_FRON","The priority of the objects that the ego vehicle should consider, in descending order, is < c4,CAM_FRONT,1212.5,485.8>, < c3,CAM_FRONT_LEFT,1282.5,452.5>, < c1,CAM_FRONT_RIGHT,654.2,298.1>, < c2,CAM_BACK,875.8,491.7>.",0,0.0,0.0,0.0
180,,No.,No.,1,1.0,0.0,1.0
181,,Keep going at the same speed.,Turn left.,0,0.0,0.0,0.0
182,,Brake suddenly.,Back up.,0,0.0,0.0,0.0
183,,Yes.,No.,0,0.0,0.0,0.0
184,,None.,None.,1,1.0,0.0,1.0
185,,Black sedan.,White van.,0,0.0,0.0,0.0
186,,One truck is parked.,One truck is moving.,0,0.75,0.0,0.75
187,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
188,,No.,Yes.,0,0.0,0.0,0.0
189,,The ego vehicle is going straight.,The ego vehicle is going straight. The ego vehicle is driving fast.,0,0.666667,0.367879,0.666667
190,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
191,,There is a white truck to the,"There is a white sedan to the back of the ego vehicle, a white truck to the front of the ego vehicle, a silver truck to the back right of the ego vehicle, and a silver sedan to the back right of the ego vehicle. The IDs of these objects are < c1,CAM_BACK,893.6,515.1>, < c2,CAM_FRONT,554.6,458.3>, < c3,CAM_BACK_RIGHT,128.8,597.5>, and < c4,CAM_BACK",0,0.208333,0.0,0.208333
192,,Yes.,Yes.,1,1.0,0.0,1.0
193,,Yes.,Yes.,1,1.0,0.0,1.0
194,,"Firstly, notice < c3,","Firstly, notice that < c3,CAM_FRONT_RIGHT,116.4,671.8>. The object is stationary, so the ego vehicle should continue going ahead at the same speed. Secondly, notice that < c1,CAM_BACK,887.5,520.8>. The object is going ahead, so the ego vehicle should continue going ahead at the same speed. Thirdly, notice that < c2,CAM_FRONT,860.8,479.2>. The object is going ahead, so the ego vehicle should continue going ahead at the same speed.",0,0.071429,0.0,0.071429
195,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
196,,Go straight.,Stationary.,0,0.0,0.0,0.0
197,,"Many cars are parked, and one","One of the cars is moving, and one is parked.",0,0.533333,0.0,0.4
198,,No.,No.,1,1.0,0.0,1.0
199,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
200,,"Many cars are parked, and one",Two cars are moving.,0,0.4,0.0,0.4
201,,No.,Yes.,0,0.0,0.0,0.0
202,,There are many cars and one truck to,"There are many barriers, many pedestrians, and one truck to the back left of the ego car.",0,0.608696,0.208431,0.608696
203,,Many pedestrians are moving.,Three pedestrians are standing.,0,0.5,0.0,0.5
204,,Sharp right turn.,Sharp right turn.,1,1.0,0.0,1.0
205,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
206,,None.,The ego vehicle.,0,0.0,0.0,0.0
207,,No.,No.,1,1.0,0.0,1.0
208,,There is a white truck to the,"There is a white truck to the back right of the ego vehicle, a black truck with a cargo trailer to the back right of the ego vehicle, and a pedestrian wearing a black top to the front right of the ego vehicle. The IDs of these objects are < c1,CAM_BACK_RIGHT,164.2,431.7>, < c2,CAM_BACK_RIGHT,760.8,445.8>, and < c3,CAM_FRONT_RIGHT,195.0,543.3>.",0,0.217391,0.000747,0.217391
209,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
210,,Yes.,Yes.,1,1.0,0.0,1.0
211,,"The action is none, the reason is","The action is to remain stationary, the reason being that there is no safety issue.",0,0.444444,0.0,0.444444
212,,There are many cars and one truck in,There are two motorcycles and two cars in front of the ego car.,0,0.5,0.0,0.4
213,,No.,No.,1,1.0,0.0,1.0
214,,Many pedestrians are moving.,"Two of the pedestrians are standing, and two are moving.",0,0.461538,0.0,0.461538
215,,Red light.,Red light.,1,1.0,0.0,1.0
216,,No.,No.,1,1.0,0.0,1.0
217,,Black sedan.,Walking person.,0,0.0,0.0,0.0
218,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
219,,There are many cars and one truck to,There is one pedestrian to the front left of the ego car.,0,0.333333,0.0,0.333333
220,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is that the object has little reference value for the ego vehicle, and the probability is high.",0,0.413793,0.058816,0.413793
221,,There are many cars and one truck in,"There are many cars, three pedestrians, and one trailer in front of the ego car.",0,0.636364,0.201836,0.636364
222,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
223,,No.,No.,1,1.0,0.0,1.0
224,,Yes.,No.,0,0.0,0.0,0.0
225,,No.,No.,1,1.0,0.0,1.0
226,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
227,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
228,,There are many cars and one truck to,There is one motorcycle to the back left of the ego car.,0,0.333333,0.0,0.333333
229,,Water droplets on the glass affect the,Watch out for the car's sudden acceleration.,0,0.0,0.0,0.0
230,,The ego vehicle is going straight.,The ego vehicle is going straight. The ego vehicle is driving fast.,0,0.666667,0.367879,0.666667
231,,The ego vehicle is going straight.,The ego vehicle is going straight. The ego vehicle is driving fast.,0,0.666667,0.367879,0.666667
232,,Yes.,Yes.,1,1.0,0.0,1.0
233,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
234,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
235,,The action is to keep going at the,The action is to remain stationary. The reason for taking this action is to follow the traffic rules. The probability of taking this action is high.,0,0.214286,0.0,0.214286
236,,No.,No.,1,1.0,0.0,1.0
237,,There is one moving car behind the,"There is one moving car in front of the ego car, two moving cars behind the ego car, many parked cars in front of the ego car, many parked cars behind the ego car, one parked truck in front of the ego car, two moving construction vehicles in front of the ego car, one standing pedestrian in front of the ego car, and one traffic cone in front of the ego car.",0,0.171429,5e-05,0.171429
238,,Only one of the boxes is a,Only one of the boxes is a traffic sign.,0,0.833333,0.67032,0.833333
239,,None.,None.,1,1.0,0.0,1.0
240,,None.,The ego vehicle.,0,0.0,0.0,0.0
241,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
242,,Yes.,No.,0,0.0,0.0,0.0
243,,No.,No.,1,1.0,0.0,1.0
244,,Yes.,Yes.,1,1.0,0.0,1.0
245,,"The action is none, the reason is",The action is to keep going at the same speed; the reason is that there is no safety issue.,0,0.380952,0.0,0.380952
246,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
247,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is that there is no safety issue, and the probability is high.",0,0.461538,0.096972,0.461538
248,,Yes.,Yes.,1,1.0,0.0,1.0
249,,No.,Yes.,0,0.0,0.0,0.0
250,,Yes.,No.,0,0.0,0.0,0.0
251,,Yes.,Yes.,1,1.0,0.0,1.0
252,,Many pedestrians are moving.,Two pedestrians are moving.,0,0.75,0.0,0.75
253,,No.,No.,1,1.0,0.0,1.0
254,,One pedestrian is moving.,One pedestrian is moving.,1,1.0,1.0,1.0
255,,Neither is a traffic sign.,Both are traffic signs.,0,0.25,0.0,0.25
256,,No.,No.,1,1.0,0.0,1.0
257,,"The action is none, the reason is",The action is to keep going at the same speed; the reason is that there is no safety issue.,0,0.380952,0.0,0.380952
258,,Black sedan.,Black sedan car.,0,0.8,0.0,0.8
259,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
260,,Yes.,Yes.,1,1.0,0.0,1.0
261,,The action is to keep going at the,"The action is to decelerate gradually without braking. The reason for taking this action is to avoid a collision, which has a high probability.",0,0.230769,0.0,0.230769
262,,One bicycle is without a rider,One bicycle is without a rider.,1,1.0,1.0,1.0
263,,"The action is none, the reason is",The action is to remain stationary; the reason is that there is no safety issue.,0,0.444444,0.0,0.444444
264,,Low.,Low.,1,1.0,0.0,1.0
265,,"Keep going at the same speed, accelerate","Brake gently to a stop, slightly offset to the right.",0,0.0,0.0,0.0
266,,None.,None.,1,1.0,0.0,1.0
267,,Yes.,Yes.,1,1.0,0.0,1.0
268,,Brake suddenly.,Brake suddenly.,1,1.0,0.0,1.0
269,,Yes.,Yes.,1,1.0,0.0,1.0
270,,Yes.,Yes.,1,1.0,0.0,1.0
271,,Stationary.,Moving.,0,0.0,0.0,0.0
272,,Moving.,Stationary.,0,0.0,0.0,0.0
273,,Go straight.,Go straight.,1,1.0,0.0,1.0
274,,Yes.,Yes.,1,1.0,0.0,1.0
275,,"Yes, there are traffic elements in the","No, there are no traffic elements in the front view.",0,0.666667,0.0,0.666667
276,,Yes.,Yes.,1,1.0,0.0,1.0
277,,Black sedan.,Black sedan.,1,1.0,0.0,1.0
278,,The action is to keep going at the,"The action is to keep stationary, the reason is to follow the traffic rules, high.",0,0.444444,0.186932,0.444444
279,,No.,No.,1,1.0,0.0,1.0
280,,Yes.,Yes.,1,1.0,0.0,1.0
281,,None.,None.,1,1.0,0.0,1.0
282,,Yes.,Yes.,1,1.0,0.0,1.0
283,,The action is to keep going at the,"The action is to keep stationary because the object has little reference value for the ego vehicle, with a high probability.",0,0.347826,0.08124,0.347826
284,,There are many cars and one truck to,There are three cars and three pedestrians to the back left of the ego car.,0,0.47619,0.0,0.47619
285,,Yes.,Yes.,1,1.0,0.0,1.0
286,,Reversing to the left rear.,Reversing to the left rear.,1,1.0,1.0,1.0
287,,Yes.,Yes.,1,1.0,0.0,1.0
288,,The ego vehicle.,"< c2,CAM_FRONT,1075.0,483.3>.",0,0.0,0.0,0.0
289,,"Yes, there are traffic elements in the","No, there are no traffic elements in the front view.",0,0.666667,0.0,0.666667
290,,There are many cars and one truck to,There are three cars and one motorcycle to the front left of the ego car.,0,0.571429,0.0,0.571429
291,,Moving.,Moving.,1,1.0,0.0,1.0
292,,Stationary.,Moving.,0,0.0,0.0,0.0
293,,One car is moving.,One car is moving.,1,1.0,1.0,1.0
294,,"The action is none, the reason is","The action is to keep going at the same speed, the reason being that there is no safety issue.",0,0.380952,0.0,0.380952
295,,Yes.,Yes.,1,1.0,0.0,1.0
296,,There are many cars and one truck to,"There is one truck, one car, and many pedestrians to the front left of the ego car.",0,0.521739,0.0,0.347826
297,,"< c1,CAM_FRON","< c3,CAM_FRONT,1073.9,554.6>, < c1,CAM_BACK,970.0,560.0>, < c2,CAM_BACK,1483.3,440.8>.",0,0.0,0.0,0.0
298,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
299,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
300,,Two motorcycles are without riders.,Three motorcycles are without riders.,0,0.8,0.66874,0.8
301,,One bicycle is without a rider,One bicycle is without a rider.,1,1.0,1.0,1.0
302,,One truck is parked.,The truck to the front left of the ego car is parked.,0,0.461538,0.0,0.461538
303,,The action is to keep going at the,"The action is to turn right. The reason is that the object has little reference value for the ego vehicle, with a high probability.",0,0.24,0.0,0.24
304,,There is a white truck to the,"There is a pedestrian wearing black clothes to the front of the ego vehicle, a pedestrian in black clothes to the front of the ego vehicle, and a white car to the back of the ego vehicle. The IDs of these objects are < c1,CAM_FRONT,1175.8,523.3>, < c2,CAM_FRONT,1236.7,530.0>, and < c3,CAM_BACK,867.5,544.2>.",0,0.190476,0.0,0.190476
305,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
306,,Two construction vehicles are parked.,Two construction vehicles are parked.,1,1.0,1.0,1.0
307,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
308,,"The action is none, the reason is","The action is to decelerate and go ahead, the reason is to avoid a collision.",0,0.470588,0.0,0.470588
309,,Yes.,Yes.,1,1.0,0.0,1.0
310,,No.,No.,1,1.0,0.0,1.0
311,,The action is to keep going at the,The action is to keep going at the same speed because there is no safety issue. The probability of this action is high.,0,0.461538,0.096972,0.461538
312,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is that there is no safety issue, and the probability is high.",0,0.461538,0.096972,0.461538
313,,The action is to keep going at the,"The action is to keep stationary. The reason is to follow the traffic rules, which has a high probability.",0,0.380952,0.11338,0.380952
314,,There are many traffic elements in the front,"There are many traffic elements in the front view. The information of these traffic elements is [(traffic light, red, 1162.85, 376.4, 1182.45, 395.66), (traffic light, unknown, 1128.21, 323.71, 1150.27, 370.06), (traffic light, red, 1152.33, 322.5, 1174.66, 372.46), (traffic light, red, 477.46, 351.2, 492.85, 396.99), (traffic light, unknown, 1141.93, 379.",0,0.259259,0.003299,0.259259
315,,Traffic sign.,Unknown.,0,0.0,0.0,0.0
316,,"The action is none, the reason is","The action is none, and the reason is that there is no safety issue.",0,0.588235,0.0,0.588235
317,,Yes.,Yes.,1,1.0,0.0,1.0
318,,No.,Yes.,0,0.0,0.0,0.0
